key,dex_number,name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
358_Chimecho,358,Chimecho,75,50,80,95,90,65
359_Absol,359,Absol,65,130,60,75,60,75
359_Mega Absol,359,Mega Absol,65,150,60,115,60,115
360_Wynaut,360,Wynaut,95,23,48,23,48,23
361_Snorunt,361,Snorunt,50,50,50,50,50,50
362_Glalie,362,Glalie,80,80,80,80,80,80
362_Mega Glalie,362,Mega Glalie,80,120,80,120,80,100
363_Spheal,363,Spheal,70,40,50,55,50,25
364_Sealeo,364,Sealeo,90,60,70,75,70,45
365_Walrein,365,Walrein,110,80,90,95,90,65
366_Clamperl,366,Clamperl,35,64,85,74,55,32
367_Huntail,367,Huntail,55,104,105,94,75,52
368_Gorebyss,368,Gorebyss,55,84,105,114,75,52
369_Relicanth,369,Relicanth,100,90,130,45,65,55
370_Luvdisc,370,Luvdisc,43,30,55,40,65,97
371_Bagon,371,Bagon,45,75,60,40,30,50
372_Shelgon,372,Shelgon,65,95,100,60,50,50
373_Mega Salamence,373,Mega Salamence,95,145,130,120,90,120
373_Salamence,373,Salamence,95,135,80,110,80,100
374_Beldum,374,Beldum,40,55,80,35,60,30
375_Metang,375,Metang,60,75,100,55,80,50
376_Mega Metagross,376,Mega Metagross,80,145,150,105,110,110
376_Metagross,376,Metagross,80,135,130,95,90,70
377_Regirock,377,Regirock,80,100,200,50,100,50
378_Regice,378,Regice,80,50,100,100,200,50
379_Registeel,379,Registeel,80,75,150,75,150,50
380_Latias,380,Latias,80,80,90,110,130,110
380_Mega Latias,380,Mega Latias,80,100,120,140,150,110
381_Latios,381,Latios,80,90,80,130,110,110
381_Mega Latios,381,Mega Latios,80,130,100,160,120,110
382_Kyogre,382,Kyogre,100,100,90,150,140,90
382_Primal Kyogre,382,Primal Kyogre,100,150,90,180,160,90
383_Groudon,383,Groudon,100,150,140,100,90,90
383_Primal Groudon,383,Primal Groudon,100,180,160,150,90,90
384_Mega Rayquaza,384,Mega Rayquaza,105,180,100,180,100,115
384_Rayquaza,384,Rayquaza,105,150,90,150,90,95
385_Jirachi,385,Jirachi,100,100,100,100,100,100
386_Attack Deoxys,386,Attack Deoxys,50,180,20,180,20,150
386_Defense Deoxys,386,Defense Deoxys,50,70,160,70,160,90
386_Deoxys,386,Deoxys,50,150,50,150,50,150
386_Speed Deoxys,386,Speed Deoxys,50,95,90,95,90,180
387_Turtwig,387,Turtwig,55,68,64,45,55,31
388_Grotle,388,Grotle,75,89,85,55,65,36
389_Torterra,389,Torterra,95,109,105,75,85,56
390_Chimchar,390,Chimchar,44,58,44,58,44,61
391_Monferno,391,Monferno,64,78,52,78,52,81
392_Infernape,392,Infernape,76,104,71,104,71,108
393_Piplup,393,Piplup,53,51,53,61,56,40
394_Prinplup,394,Prinplup,64,66,68,81,76,50
395_Empoleon,395,Empoleon,84,86,88,111,101,60
396_Starly,396,Starly,40,55,30,30,30,60
397_Staravia,397,Staravia,55,75,50,40,40,80
398_Staraptor,398,Staraptor,85,120,70,50,60,100
399_Bidoof,399,Bidoof,59,45,40,35,40,31
400_Bibarel,400,Bibarel,79,85,60,55,60,71
401_Kricketot,401,Kricketot,37,25,41,25,41,25
402_Kricketune,402,Kricketune,77,85,51,55,51,65
403_Shinx,403,Shinx,45,65,34,40,34,45
404_Luxio,404,Luxio,60,85,49,60,49,60
405_Luxray,405,Luxray,80,120,79,95,79,70
406_Budew,406,Budew,40,30,35,50,70,55
407_Roserade,407,Roserade,60,70,65,125,105,90
408_Cranidos,408,Cranidos,67,125,40,30,30,58
409_Rampardos,409,Rampardos,97,165,60,65,50,58
410_Shieldon,410,Shieldon,30,42,118,42,88,30
411_Bastiodon,411,Bastiodon,60,52,168,47,138,30
412_Burmy,412,Burmy,40,29,45,29,45,36
412_Sandy Burmy,412,Sandy Burmy,40,29,45,29,45,36
412_Trash Burmy,412,Trash Burmy,40,29,45,29,45,36
413_Sandy Wormadam,413,Sandy Wormadam,60,79,105,59,85,36
413_Trash Wormadam,413,Trash Wormadam,60,69,95,69,95,36
413_Wormadam,413,Wormadam,60,59,85,79,105,36
414_Mothim,414,Mothim,70,94,50,94,50,66
415_Combee,415,Combee,30,30,42,30,42,70
416_Vespiquen,416,Vespiquen,70,80,102,80,102,40
417_Pachirisu,417,Pachirisu,60,45,70,45,90,95
418_Buizel,418,Buizel,55,65,35,60,30,85
419_Floatzel,419,Floatzel,85,105,55,85,50,115
420_Cherubi,420,Cherubi,45,35,45,62,53,35
421_Cherrim,421,Cherrim,70,60,70,87,78,85
421_Sunshine Cherrim,421,Sunshine Cherrim,70,60,70,87,78,85
422_East Sea Shellos,422,East Sea Shellos,76,48,48,57,62,34
422_Shellos,422,Shellos,76,48,48,57,62,34
423_East Sea Gastrodon,423,East Sea Gastrodon,111,83,68,92,82,39
423_Gastrodon,423,Gastrodon,111,83,68,92,82,39
424_Ambipom,424,Ambipom,75,100,66,60,66,115
425_Drifloon,425,Drifloon,90,50,34,60,44,70
426_Drifblim,426,Drifblim,150,80,44,90,54,80
427_Buneary,427,Buneary,55,66,44,44,56,85
428_Lopunny,428,Lopunny,65,76,84,54,96,105
428_Mega Lopunny,428,Mega Lopunny,65,136,94,54,96,135
429_Mismagius,429,Mismagius,60,60,60,105,105,105
430_Honchkrow,430,Honchkrow,100,125,52,105,52,71
431_Glameow,431,Glameow,49,55,42,42,37,85
432_Purugly,432,Purugly,71,82,64,64,59,112
433_Chingling,433,Chingling,45,30,50,65,50,45
434_Stunky,434,Stunky,63,63,47,41,41,74
435_Skuntank,435,Skuntank,103,93,67,71,61,84
436_Bronzor,436,Bronzor,57,24,86,24,86,23
437_Bronzong,437,Bronzong,67,89,116,79,116,33
438_Bonsly,438,Bonsly,50,80,95,10,45,10
439_Mime Jr.,439,Mime Jr.,20,25,45,70,90,60
440_Happiny,440,Happiny,100,5,5,15,65,30
441_Chatot,441,Chatot,76,65,45,92,42,91
442_Spiritomb,442,Spiritomb,50,92,108,92,108,35
443_Gible,443,Gible,58,70,45,40,45,42
444_Gabite,444,Gabite,68,90,65,50,55,82
445_Garchomp,445,Garchomp,108,130,95,80,85,102
445_Mega Garchomp,445,Mega Garchomp,108,170,115,120,95,92
446_Munchlax,446,Munchlax,135,85,40,40,85,5
447_Riolu,447,Riolu,40,70,40,35,40,60
448_Lucario,448,Lucario,70,110,70,115,70,90
448_Mega Lucario,448,Mega Lucario,70,145,88,140,70,112
449_Hippopotas,449,Hippopotas,68,72,78,38,42,32
450_Hippowdon,450,Hippowdon,108,112,118,68,72,47
451_Skorupi,451,Skorupi,40,50,90,30,55,65
452_Drapion,452,Drapion,70,90,110,60,75,95
453_Croagunk,453,Croagunk,48,61,40,61,40,50
454_Toxicroak,454,Toxicroak,83,106,65,86,65,85
455_Carnivine,455,Carnivine,74,100,72,90,72,46
456_Finneon,456,Finneon,49,49,56,49,61,66
457_Lumineon,457,Lumineon,69,69,76,69,86,91
458_Mantyke,458,Mantyke,45,20,50,60,120,50
459_Snover,459,Snover,60,62,50,62,60,40
460_Abomasnow,460,Abomasnow,90,92,75,92,85,60
460_Mega Abomasnow,460,Mega Abomasnow,90,132,105,132,105,30
461_Weavile,461,Weavile,70,120,65,45,85,125
462_Magnezone,462,Magnezone,70,70,115,130,90,60
463_Lickilicky,463,Lickilicky,110,85,95,80,95,50
464_Rhyperior,464,Rhyperior,115,140,130,55,55,40
465_Tangrowth,465,Tangrowth,100,100,125,110,50,50
466_Electivire,466,Electivire,75,123,67,95,85,95
467_Magmortar,467,Magmortar,75,95,67,125,95,83
468_Togekiss,468,Togekiss,85,50,95,120,115,80
469_Yanmega,469,Yanmega,86,76,86,116,56,95
470_Leafeon,470,Leafeon,65,110,130,60,65,95
471_Glaceon,471,Glaceon,65,60,110,130,95,65
472_Gliscor,472,Gliscor,75,95,125,45,75,95
473_Mamoswine,473,Mamoswine,110,130,80,70,60,80
474_Porygon-Z,474,Porygon-Z,85,80,70,135,75,90
475_Gallade,475,Gallade,68,125,65,65,115,80
475_Mega Gallade,475,Mega Gallade,68,165,95,65,115,110
476_Probopass,476,Probopass,60,55,145,75,150,40
477_Dusknoir,477,Dusknoir,45,100,135,65,135,45
478_Froslass,478,Froslass,70,80,70,80,70,110
479_Fan Rotom,479,Fan Rotom,50,65,107,105,107,86
479_Frost Rotom,479,Frost Rotom,50,65,107,105,107,86
479_Heat Rotom,479,Heat Rotom,50,65,107,105,107,86
479_Mow Rotom,479,Mow Rotom,50,65,107,105,107,86
479_Rotom,479,Rotom,50,50,77,95,77,91
479_Rotom Drone,479,Rotom Drone,50,65,107,105,107,86
479_Rotom Phone,479,Rotom Phone,50,65,107,105,107,86
479_Rotom Pokédex,479,Rotom Pokédex,50,65,107,105,107,86
479_Wash Rotom,479,Wash Rotom,50,65,107,105,107,86
480_Uxie,480,Uxie,75,75,130,75,130,95
481_Mesprit,481,Mesprit,80,105,105,105,105,80
482_Azelf,482,Azelf,75,125,70,125,70,115
483_Dialga,483,Dialga,100,120,120,150,100,90
483_Origin Dialga,483,Origin Dialga,100,100,120,150,120,90
484_Origin Palkia,484,Origin Palkia,90,100,100,150,120,120
484_Palkia,484,Palkia,90,120,100,150,120,100
485_Heatran,485,Heatran,91,90,106,130,106,77
486_Regigigas,486,Regigigas,110,160,110,80,110,100
487_Giratina,487,Giratina,150,100,120,100,120,90
487_Origin Giratina,487,Origin Giratina,150,120,100,120,100,90
488_Cresselia,488,Cresselia,120,70,120,75,130,85
489_Phione,489,Phione,80,80,80,80,80,80
490_Manaphy,490,Manaphy,100,100,100,100,100,100
491_Darkrai,491,Darkrai,70,90,90,135,90,125
492_Shaymin,492,Shaymin,100,100,100,100,100,100
492_Sky Shaymin,492,Sky Shaymin,100,103,75,120,75,127
493_Arceus,493,Arceus,120,120,120,120,120,120
493_Bug Arceus,493,Bug Arceus,120,120,120,120,120,120
493_Dark Arceus,493,Dark Arceus,120,120,120,120,120,120
493_Dragon Arceus,493,Dragon Arceus,120,120,120,120,120,120
493_Electric Arceus,493,Electric Arceus,120,120,120,120,120,120
493_Fairy Arceus,493,Fairy Arceus,120,120,120,120,120,120
493_Fighting Arceus,493,Fighting Arceus,120,120,120,120,120,120
493_Fire Arceus,493,Fire Arceus,120,120,120,120,120,120
493_Flying Arceus,493,Flying Arceus,120,120,120,120,120,120
493_Ghost Arceus,493,Ghost Arceus,120,120,120,120,120,120
493_Grass Arceus,493,Grass Arceus,120,120,120,120,120,120
493_Ground Arceus,493,Ground Arceus,120,120,120,120,120,120
493_Ice Arceus,493,Ice Arceus,120,120,120,120,120,120
493_Poison Arceus,493,Poison Arceus,120,120,120,120,120,120
493_Psychic Arceus,493,Psychic Arceus,120,120,120,120,120,120
493_Rock Arceus,493,Rock Arceus,120,120,120,120,120,120
493_Steel Arceus,493,Steel Arceus,120,120,120,120,120,120
493_Water Arceus,493,Water Arceus,120,120,120,120,120,120
494_Victini,494,Victini,100,100,100,100,100,100
495_Snivy,495,Snivy,45,45,55,45,55,63
496_Servine,496,Servine,60,60,75,60,75,83
497_Serperior,497,Serperior,75,75,95,75,95,113
498_Tepig,498,Tepig,65,63,45,45,45,45
499_Pignite,499,Pignite,90,93,55,70,55,55
500_Emboar,500,Emboar,110,123,65,100,65,65
501_Oshawott,501,Oshawott,55,55,45,63,45,45
502_Dewott,502,Dewott,75,75,60,83,60,60
503_Hisuian Samurott,503,Hisuian Samurott,90,108,80,100,65,85
503_Samurott,503,Samurott,95,100,85,108,70,70
504_Patrat,504,Patrat,45,55,39,35,39,42
505_Watchog,505,Watchog,60,85,69,60,69,77
506_Lillipup,506,Lillipup,45,60,45,25,45,55
507_Herdier,507,Herdier,65,80,65,35,65,60
508_Stoutland,508,Stoutland,85,110,90,45,90,80
509_Purrloin,509,Purrloin,41,50,37,50,37,66
510_Liepard,510,Liepard,64,88,50,88,50,106
511_Pansage,511,Pansage,50,53,48,53,48,64
512_Simisage,512,Simisage,75,98,63,98,63,101
513_Pansear,513,Pansear,50,53,48,53,48,64
514_Simisear,514,Simisear,75,98,63,98,63,101
515_Panpour,515,Panpour,50,53,48,53,48,64
516_Simipour,516,Simipour,75,98,63,98,63,101
517_Munna,517,Munna,76,25,45,67,55,24
518_Musharna,518,Musharna,116,55,85,107,95,29
519_Pidove,519,Pidove,50,55,50,36,30,43
520_Tranquill,520,Tranquill,62,77,62,50,42,65
521_Unfezant,521,Unfezant,80,115,80,65,55,93
522_Blitzle,522,Blitzle,45,60,32,50,32,76
523_Zebstrika,523,Zebstrika,75,100,63,80,63,116
524_Roggenrola,524,Roggenrola,55,75,85,25,25,15
525_Boldore,525,Boldore,70,105,105,50,40,20
526_Gigalith,526,Gigalith,85,135,130,60,80,25
527_Woobat,527,Woobat,65,45,43,55,43,72
528_Swoobat,528,Swoobat,67,57,55,77,55,114
529_Drilbur,529,Drilbur,60,85,40,30,45,68
530_Excadrill,530,Excadrill,110,135,60,50,65,88
531_Audino,531,Audino,103,60,86,60,86,50
531_Mega Audino,531,Mega Audino,103,60,126,80,126,50
532_Timburr,532,Timburr,75,80,55,25,35,35
533_Gurdurr,533,Gurdurr,85,105,85,40,50,40
534_Conkeldurr,534,Conkeldurr,105,140,95,55,65,45
535_Tympole,535,Tympole,50,50,40,50,40,64
536_Palpitoad,536,Palpitoad,75,65,55,65,55,69
537_Seismitoad,537,Seismitoad,105,95,75,85,75,74
538_Throh,538,Throh,120,100,85,30,85,45
539_Sawk,539,Sawk,75,125,75,30,75,85
540_Sewaddle,540,Sewaddle,45,53,70,40,60,42
541_Swadloon,541,Swadloon,55,63,90,50,80,42
542_Leavanny,542,Leavanny,75,103,80,70,80,92
543_Venipede,543,Venipede,30,45,59,30,39,57
544_Whirlipede,544,Whirlipede,40,55,99,40,79,47
545_Scolipede,545,Scolipede,60,100,89,55,69,112
546_Cottonee,546,Cottonee,40,27,60,37,50,66
547_Whimsicott,547,Whimsicott,60,67,85,77,75,116
548_Petilil,548,Petilil,45,35,50,70,50,30
549_Hisuian Lilligant,549,Hisuian Lilligant,70,105,75,50,75,105
549_Lilligant,549,Lilligant,70,60,75,110,75,90
550_Basculin,550,Basculin,70,92,65,80,55,98
550_Blue-Striped Basculin,550,Blue-Striped Basculin,70,92,65,80,55,98
550_White-Striped Basculin,550,White-Striped Basculin,70,92,65,80,55,98
551_Sandile,551,Sandile,50,72,35,35,35,65
552_Krokorok,552,Krokorok,60,82,45,45,45,74
553_Krookodile,553,Krookodile,95,117,80,65,70,92
554_Darumaka,554,Darumaka,70,90,45,15,45,50
554_Galarian Darumaka,554,Galarian Darumaka,70,90,45,15,45,50
555_Darmanitan,555,Darmanitan,105,140,55,30,55,95
555_Galarian Darmanitan,555,Galarian Darmanitan,105,140,55,30,55,95
555_Galarian Zen Darmanitan,555,Galarian Zen Darmanitan,105,160,55,30,55,135
555_Zen Darmanitan,555,Zen Darmanitan,105,30,105,140,105,55
556_Maractus,556,Maractus,75,86,67,106,67,60
557_Dwebble,557,Dwebble,50,65,85,35,35,55
558_Crustle,558,Crustle,70,105,125,65,75,45
559_Scraggy,559,Scraggy,50,75,70,35,70,48
560_Scrafty,560,Scrafty,65,90,115,45,115,58
561_Sigilyph,561,Sigilyph,72,58,80,103,80,97
562_Galarian Yamask,562,Galarian Yamask,38,55,85,30,65,30
562_Yamask,562,Yamask,38,30,85,55,65,30
563_Cofagrigus,563,Cofagrigus,58,50,145,95,105,30
564_Tirtouga,564,Tirtouga,54,78,103,53,45,22
565_Carracosta,565,Carracosta,74,108,133,83,65,32
566_Archen,566,Archen,55,112,45,74,45,70
567_Archeops,567,Archeops,75,140,65,112,65,110
568_Trubbish,568,Trubbish,50,50,62,40,62,65
569_Garbodor,569,Garbodor,80,95,82,60,82,75
569_Gigantamax Garbodor,569,Gigantamax Garbodor,80,125,92,110,92,75
570_Hisuian Zorua,570,Hisuian Zorua,35,60,40,85,40,70
570_Zorua,570,Zorua,40,65,40,80,40,65
571_Hisuian Zoroark,571,Hisuian Zoroark,55,100,60,125,60,110
571_Zoroark,571,Zoroark,60,105,60,120,60,105
572_Minccino,572,Minccino,55,50,40,40,40,75
573_Cinccino,573,Cinccino,75,95,60,65,60,115
574_Gothita,574,Gothita,45,30,50,55,65,45
575_Gothorita,575,Gothorita,60,45,70,75,85,55
576_Gothitelle,576,Gothitelle,70,55,95,95,110,65
577_Solosis,577,Solosis,45,30,40,105,50,20
578_Duosion,578,Duosion,65,40,50,125,60,30
579_Reuniclus,579,Reuniclus,110,65,75,125,85,30
580_Ducklett,580,Ducklett,62,44,50,44,50,55
581_Swanna,581,Swanna,75,87,63,87,63,98
582_Vanillite,582,Vanillite,36,50,50,65,60,44
583_Vanillish,583,Vanillish,51,65,65,80,75,59
584_Vanilluxe,584,Vanilluxe,71,95,85,110,95,79
585_Autumn Deerling,585,Autumn Deerling,60,60,50,40,50,75
585_Deerling,585,Deerling,60,60,50,40,50,75
585_Summer Deerling,585,Summer Deerling,60,60,50,40,50,75
585_Winter Deerling,585,Winter Deerling,60,60,50,40,50,75
586_Autumn Sawsbuck,586,Autumn Sawsbuck,80,100,70,60,70,95
586_Sawsbuck,586,Sawsbuck,80,100,70,60,70,95
586_Summer Sawsbuck,586,Summer Sawsbuck,80,100,70,60,70,95
586_Winter Sawsbuck,586,Winter Sawsbuck,80,100,70,60,70,95
587_Emolga,587,Emolga,55,75,60,75,60,103
588_Karrablast,588,Karrablast,50,75,45,40,45,60
589_Escavalier,589,Escavalier,70,135,105,60,105,20
590_Foongus,590,Foongus,69,55,45,55,55,15
591_Amoonguss,591,Amoonguss,114,85,70,85,80,30
592_Frillish,592,Frillish,55,40,50,65,85,40
593_Jellicent,593,Jellicent,100,60,70,85,105,60
594_Alomomola,594,Alomomola,165,75,80,40,45,65
595_Joltik,595,Joltik,50,47,50,57,50,65
596_Galvantula,596,Galvantula,70,77,60,97,60,108
597_Ferroseed,597,Ferroseed,44,50,91,24,86,10
598_Ferrothorn,598,Ferrothorn,74,94,131,54,116,20
599_Klink,599,Klink,40,55,70,45,60,30
600_Klang,600,Klang,60,80,95,70,85,50
601_Klinklang,601,Klinklang,60,100,115,70,85,90
602_Tynamo,602,Tynamo,35,55,40,45,40,60
603_Eelektrik,603,Eelektrik,65,85,70,75,70,40
604_Eelektross,604,Eelektross,85,115,80,105,80,50
605_Elgyem,605,Elgyem,55,55,55,85,55,30
606_Beheeyem,606,Beheeyem,75,75,75,125,95,40
607_Litwick,607,Litwick,50,30,55,65,55,20
608_Lampent,608,Lampent,60,40,60,95,60,55
609_Chandelure,609,Chandelure,60,55,90,145,90,80
610_Axew,610,Axew,46,87,60,30,40,57
611_Fraxure,611,Fraxure,66,117,70,40,50,67
612_Haxorus,612,Haxorus,76,147,90,60,70,97
613_Cubchoo,613,Cubchoo,55,70,40,60,40,40
614_Beartic,614,Beartic,95,130,80,70,80,50
615_Cryogonal,615,Cryogonal,80,50,50,95,135,105
616_Shelmet,616,Shelmet,50,40,85,40,65,25
617_Accelgor,617,Accelgor,80,70,40,100,60,145
618_Galarian Stunfisk,618,Galarian Stunfisk,109,81,99,66,84,32
618_Stunfisk,618,Stunfisk,109,66,84,81,99,32
619_Mienfoo,619,Mienfoo,45,85,50,55,50,65
620_Mienshao,620,Mienshao,65,125,60,95,60,105
621_Druddigon,621,Druddigon,77,120,90,60,90,48
622_Golett,622,Golett,59,74,50,35,50,35
623_Golurk,623,Golurk,89,124,80,55,80,55
624_Pawniard,624,Pawniard,45,85,70,40,40,60
625_Bisharp,625,Bisharp,65,125,100,60,70,70
626_Bouffalant,626,Bouffalant,95,110,95,40,95,55
627_Rufflet,627,Rufflet,70,83,50,37,50,60
628_Braviary,628,Braviary,100,123,75,57,75,80
628_Hisuian Braviary,628,Hisuian Braviary,110,83,70,112,70,65
629_Vullaby,629,Vullaby,70,55,75,45,65,60
630_Mandibuzz,630,Mandibuzz,110,65,105,55,95,80
631_Heatmor,631,Heatmor,85,97,66,105,66,65
632_Durant,632,Durant,58,109,112,48,48,109
633_Deino,633,Deino,52,65,50,45,50,38
634_Zweilous,634,Zweilous,72,85,70,65,70,58
635_Hydreigon,635,Hydreigon,92,105,90,125,90,98
636_Larvesta,636,Larvesta,55,85,55,50,55,60
637_Volcarona,637,Volcarona,85,60,65,135,105,100
638_Cobalion,638,Cobalion,91,90,129,90,72,108
639_Terrakion,639,Terrakion,91,129,90,72,90,108
640_Virizion,640,Virizion,91,90,72,90,129,108
641_Therian Tornadus,641,Therian Tornadus,79,100,80,110,90,121
641_Tornadus,641,Tornadus,79,115,70,125,80,111
642_Therian Thundurus,642,Therian Thundurus,79,105,70,145,80,101
642_Thundurus,642,Thundurus,79,115,70,125,80,111
643_Reshiram,643,Reshiram,100,120,100,150,120,90
644_Zekrom,644,Zekrom,100,150,120,120,100,90
645_Landorus,645,Landorus,89,125,90,115,80,101
645_Therian Landorus,645,Therian Landorus,89,145,90,105,80,91
646_Black Kyurem,646,Black Kyurem,125,170,100,120,90,95
646_Kyurem,646,Kyurem,125,130,90,130,90,95
646_White Kyurem,646,White Kyurem,125,120,90,170,100,95
647_Keldeo,647,Keldeo,91,72,90,129,90,108
647_Resolute Keldeo,647,Resolute Keldeo,91,72,90,129,90,108
648_Meloetta,648,Meloetta,100,77,77,128,128,90
648_Pirouette Meloetta,648,Pirouette Meloetta,100,128,90,77,77,128
649_Genesect,649,Genesect,71,120,95,120,95,99
649_High-speed Flight Configuration Genesect,649,High-speed Flight Configuration Genesect,71,120,95,120,95,99
650_Chespin,650,Chespin,56,61,65,48,45,38
651_Quilladin,651,Quilladin,61,78,95,56,58,57
652_Chesnaught,652,Chesnaught,88,107,122,74,75,64
653_Fennekin,653,Fennekin,40,45,40,62,60,60
654_Braixen,654,Braixen,59,59,58,90,70,73
655_Delphox,655,Delphox,75,69,72,114,100,104
656_Froakie,656,Froakie,41,56,40,62,44,71
657_Frogadier,657,Frogadier,54,63,52,83,56,97
658_Greninja,658,Greninja,72,95,67,103,71,122
659_Bunnelby,659,Bunnelby,38,36,38,32,36,57
660_Diggersby,660,Diggersby,85,56,77,50,77,78
661_Fletchling,661,Fletchling,45,50,43,40,38,62
662_Fletchinder,662,Fletchinder,62,73,55,56,52,84
663_Talonflame,663,Talonflame,78,81,71,74,69,126
664_Scatterbug,664,Scatterbug,38,35,40,27,25,35
665_Spewpa,665,Spewpa,45,22,60,27,30,29
666_Archipelago Vivillon,666,Archipelago Vivillon,80,52,50,90,50,89
666_Continental Vivillon,666,Continental Vivillon,80,52,50,90,50,89
666_Elegant Vivillon,666,Elegant Vivillon,80,52,50,90,50,89
666_Fancy Vivillon,666,Fancy Vivillon,80,52,50,90,50,89
666_Garden Vivillon,666,Garden Vivillon,80,52,50,90,50,89
666_High Plain Vivillon,666,High Plain Vivillon,80,52,50,90,50,89
666_Icy Snow Vivillon,666,Icy Snow Vivillon,80,52,50,90,50,89
666_Jungle Vivillon,666,Jungle Vivillon,80,52,50,90,50,89
666_Marine Vivillon,666,Marine Vivillon,80,52,50,90,50,89
666_Modern Vivillon,666,Modern Vivillon,80,52,50,90,50,89
666_Monsoon Vivillon,666,Monsoon Vivillon,80,52,50,90,50,89
666_Ocean Vivillon,666,Ocean Vivillon,80,52,50,90,50,89
666_Poké Ball Vivillon,666,Poké Ball Vivillon,80,52,50,90,50,89
666_Polar Vivillon,666,Polar Vivillon,80,52,50,90,50,89
666_River Vivillon,666,River Vivillon,80,52,50,90,50,89
666_Sandstorm Vivillon,666,Sandstorm Vivillon,80,52,50,90,50,89
666_Savanna Vivillon,666,Savanna Vivillon,80,52,50,90,50,89
666_Sun Vivillon,666,Sun Vivillon,80,52,50,90,50,89
666_Tundra Vivillon,666,Tundra Vivillon,80,52,50,90,50,89
666_Vivillon,666,Vivillon,80,52,50,90,50,89
667_Litleo,667,Litleo,62,50,58,73,54,72
668_Pyroar,668,Pyroar,86,68,72,109,66,106
669_Blue Flower Flabébé,669,Blue Flower Flabébé,44,38,39,61,79,42
669_Flabébé,669,Flabébé,44,38,39,61,79,42
669_Orange Flower Flabébé,669,Orange Flower Flabébé,44,38,39,61,79,42
669_White Flower Flabébé,669,White Flower Flabébé,44,38,39,61,79,42
669_Yellow Flower Flabébé,669,Yellow Flower Flabébé,44,38,39,61,79,42
670_Blue Flower Floette,670,Blue Flower Floette,54,45,47,75,98,52
670_Floette,670,Floette,54,45,47,75,98,52
670_Orange Flower Floette,670,Orange Flower Floette,54,45,47,75,98,52
670_White Flower Floette,670,White Flower Floette,54,45,47,75,98,52
670_Yellow Flower Floette,670,Yellow Flower Floette,54,45,47,75,98,52
671_Blue Flower Florges,671,Blue Flower Florges,78,65,68,112,154,75
671_Florges,671,Florges,78,65,68,112,154,75
671_Orange Flower Florges,671,Orange Flower Florges,78,65,68,112,154,75
671_White Flower Florges,671,White Flower Florges,78,65,68,112,154,75
671_Yellow Flower Florges,671,Yellow Flower Florges,78,65,68,112,154,75
672_Skiddo,672,Skiddo,66,65,48,62,57,52
673_Gogoat,673,Gogoat,123,100,62,97,81,68
674_Pancham,674,Pancham,67,82,62,46,48,43
675_Pangoro,675,Pangoro,95,124,78,69,71,58
676_Dandy Trim Furfrou,676,Dandy Trim Furfrou,75,80,60,65,90,102
676_Debutante Trim Furfrou,676,Debutante Trim Furfrou,75,80,60,65,90,102
676_Diamond Trim Furfrou,676,Diamond Trim Furfrou,75,80,60,65,90,102
676_Furfrou,676,Furfrou,75,80,60,65,90,102
676_Heart Trim Furfrou,676,Heart Trim Furfrou,75,80,60,65,90,102
676_Kabuki Trim Furfrou,676,Kabuki Trim Furfrou,75,80,60,65,90,102
676_La Reine Trim Furfrou,676,La Reine Trim Furfrou,75,80,60,65,90,102
676_Matron Trim Furfrou,676,Matron Trim Furfrou,75,80,60,65,90,102
676_Pharaoh Trim Furfrou,676,Pharaoh Trim Furfrou,75,80,60,65,90,102
676_Star Trim Furfrou,676,Star Trim Furfrou,75,80,60,65,90,102
677_Espurr,677,Espurr,62,48,54,63,60,68
678_Meowstic,678,Meowstic,74,48,76,83,81,104
679_Honedge,679,Honedge,45,80,100,35,37,28
680_Doublade,680,Doublade,59,110,150,45,49,35
681_Aegislash,681,Aegislash,60,50,150,50,150,60
681_Blade Aegislash,681,Blade Aegislash,60,150,50,150,50,60
682_Spritzee,682,Spritzee,78,52,60,63,65,23
683_Aromatisse,683,Aromatisse,101,72,72,99,89,29
684_Swirlix,684,Swirlix,62,48,66,59,57,49
685_Slurpuff,685,Slurpuff,82,80,86,85,75,72
686_Inkay,686,Inkay,53,54,53,37,46,45
687_Malamar,687,Malamar,86,92,88,68,75,73
688_Binacle,688,Binacle,42,52,67,39,56,50
689_Barbaracle,689,Barbaracle,72,105,115,54,86,68
690_Skrelp,690,Skrelp,50,60,60,60,60,30
691_Dragalge,691,Dragalge,65,75,90,97,123,44
692_Clauncher,692,Clauncher,50,53,62,58,63,44
693_Clawitzer,693,Clawitzer,71,73,88,120,89,59
694_Helioptile,694,Helioptile,44,38,33,61,43,70
695_Heliolisk,695,Heliolisk,62,55,52,109,94,109
696_Tyrunt,696,Tyrunt,58,89,77,45,45,48
697_Tyrantrum,697,Tyrantrum,82,121,119,69,59,71
698_Amaura,698,Amaura,77,59,50,67,63,46
699_Aurorus,699,Aurorus,123,77,72,99,92,58
700_Sylveon,700,Sylveon,95,65,65,110,130,60
701_Hawlucha,701,Hawlucha,78,92,75,74,63,118
702_Dedenne,702,Dedenne,67,58,57,81,67,101
703_Carbink,703,Carbink,50,50,150,50,150,50
704_Goomy,704,Goomy,45,50,35,55,75,40
705_Hisuian Sliggoo,705,Hisuian Sliggoo,58,75,83,83,113,40
705_Sliggoo,705,Sliggoo,68,75,53,83,113,60
706_Goodra,706,Goodra,90,100,70,110,150,80
