Number,Name,Form
919,Nymble,
920,Lokix,
921,Pawmi,
922,Pawmo,
923,Pawmot,
924,Tandemaus,
925,Maushold,
925,Maushold,Family of Three Maushold
926,Fidough,
927,Dachsbun,
928,Smoliv,
929,Dolliv,
930,Arboliva,
931,Squawkabilly,
931,Squawkabilly,Blue Plumage Squawkabilly
931,Squawkabilly,Yellow Plumage Squawkabilly
931,Squawkabilly,White Plumage Squawkabilly
932,Nacli,
933,Naclstack,
934,Garganacl,
935,Charcadet,
936,Armarouge,
937,Ceruledge,
938,Tadbulb,
939,Bellibolt,
940,Wattrel,
941,Kilowattrel,
942,Maschiff,
943,Mabosstiff,
944,Shroodle,
945,Grafaiai,
946,Bramblin,
947,Brambleghast,
948,Toedscool,
949,Toedscruel,
950,Klawf,
951,Capsakid,
952,Scovillain,
953,Rellor,
954,Rabsca,
955,Flittle,
956,Espathra,
957,Tinkatink,
958,Tinkatuff,
959,Tinkaton,
960,Wiglett,
961,Wugtrio,
962,Bombirdier,
963,Finizen,
964,Palafin,
964,Palafin,Hero Palafin
965,Varoom,
966,Revavroom,
967,Cyclizar,
967,Cyclizar,Battle Cyclizar
967,Cyclizar,Ride Cyclizar
968,Orthworm,
969,Glimmet,
970,Glimmora,
971,Greavard,
972,Houndstone,
973,Flamigo,
974,Cetoddle,
975,Cetitan,
976,Veluza,
977,Dondozo,
978,Tatsugiri,
978,Tatsugiri,Droopy Tatsugiri
978,Tatsugiri,Stretchy Tatsugiri
979,Annihilape,
980,Clodsire,
981,Farigiraf,
982,Dudunsparce,
982,Dudunsparce,Three-Segment Dudunsparce
983,Kingambit,
984,Great Tusk,
985,Scream Tail,
986,Brute Bonnet,
987,Flutter Mane,
988,Slither Wing,
989,Sandy Shocks,
990,Iron Treads,
991,Iron Bundle,
992,Iron Hands,
993,Iron Jugulis,
994,Iron Moth,
995,Iron Thorns,
996,Frigibax,
997,Arctibax,
998,Baxcalibur,
999,Gimmighoul,
999,Gimmighoul,Roaming Gimmighoul
1000,Gholdengo,
1001,Wo-Chien,
1002,Chien-Pao,
1003,Ting-Lu,
1004,Chi-Yu,
1005,Roaring Moon,
1006,Iron Valiant,
1007,Koraidon,
1007,Koraidon,Sprinting Build Koraidon
1007,Koraidon,Gliding Build Koraidon
1008,Miraidon,
1008,Miraidon,Drive Mode Miraidon
1008,Miraidon,Glide Mode Miraidon
1009,Walking Wake,
1010,Iron Leaves,
1011,Dipplin,
1012,Poltchageist,
1013,Sinistcha,
1014,Okidogi,
1015,Munkidori,
1016,Fezandipiti,
1017,Ogerpon,
1017,Ogerpon,Wellspring Mask Ogerpon
1017,Ogerpon,Hearthflame Mask Ogerpon
1017,Ogerpon,Cornerstone Mask Ogerpon
1018,Archaludon,
1019,Hydrapple,
1020,Gouging Fire,
1021,Raging Bolt,
1022,Iron Boulder,
1023,Iron Crown,
1024,Terapagos,
1024,Terapagos,Terastal Terapagos
1025,Pecharunt,
25,Pikachu,Peakychu
143,Snorlax,Mosslax
235,Smeargle,Smearguru
465,Tangrowth,Prof Tangrowth
479,Rotom,DJ Rotom
820,Greedent,Chef Dente
