Name,Egg Groups
Runerigus,"Mineral, Amorphous"
Sableye,Human-Like
Salamence,Dragon
Salandit,"Monster, Dragon"
Salazzle,"Monster, Dragon"
Samurott,Field
Sandaconda,"Field, Dragon"
Sandile,Field
Sandshrew,Field
Sandslash,Field
Sandstorm Vivillon,Bug
Sandy Burmy,Bug
Sandy Shocks,Undiscovered
Sandy Wormadam,Bug
Sandygast,Amorphous
Savanna Vivillon,Bug
Sawk,Human-Like
Sawsbuck,Field
Scatterbug,Bug
Sceptile,"Monster, Dragon"
School Wishiwashi,Water 2
Scizor,Bug
Scolipede,Bug
Scorbunny,"Field, Human-Like"
Scovillain,Grass
Scrafty,"Field, Dragon"
Scraggy,"Field, Dragon"
Scream Tail,Undiscovered
Scyther,Bug
Seadra,"Water 1, Dragon"
Seaking,Water 2
Sealeo,"Water 1, Field"
Seedot,"Field, Grass"
Seel,"Water 1, Field"
Seismitoad,Water 1
Sensu Oricorio,Flying
Sentret,Field
Serperior,"Field, Grass"
Servine,"Field, Grass"
Seviper,"Field, Dragon"
Sewaddle,Bug
Shadow Rider Calyrex,Undiscovered
Sharpedo,Water 2
Shaymin,Undiscovered
Shedinja,Mineral
Shelgon,Dragon
Shellder,Water 3
Shellos,"Water 1, Amorphous"
Shelmet,Bug
Shieldon,Monster
Shiftry,"Field, Grass"
Shiinotic,Grass
Shinx,Field
Shroodle,Field
Shroomish,"Fairy, Grass"
Shuckle,Bug
Shuppet,Amorphous
Sigilyph,Flying
Silcoon,Bug
Silicobra,"Field, Dragon"
Silvally,Undiscovered
Simipour,Field
Simisage,Field
Simisear,Field
Sinistcha,"Mineral, Amorphous"
Sinistea,"Mineral, Amorphous"
Sinnoh Cap Pikachu,Undiscovered
Sirfetch'd,"Flying, Field"
Sizzlipede,Bug
Skarmory,Flying
Skeledirge,Field
Skiddo,Field
Skiploom,"Fairy, Grass"
Skitty,"Field, Fairy"
Skorupi,"Bug, Water 3"
Skrelp,"Water 1, Dragon"
Skuntank,Field
Skwovet,Field
Sky Shaymin,Undiscovered
Slaking,Field
Slakoth,Field
Sliggoo,Dragon
Slither Wing,Undiscovered
Slowbro,"Monster, Water 1"
Slowking,"Monster, Water 1"
Slowpoke,"Monster, Water 1"
Slugma,Amorphous
Slurpuff,Fairy
Small Gourgeist,Undiscovered
Small Pumpkaboo,Undiscovered
Smeargle,Field
Smearguru,Undiscovered
Smoliv,Grass
Smoochum,Undiscovered
Sneasel,Field
Sneasler,Field
Snivy,"Field, Grass"
Snom,Bug
Snorlax,Monster
Snorunt,"Fairy, Mineral"
Snover,"Monster, Grass"
Snowy Castform,"Fairy, Amorphous"
Snubbull,"Field, Fairy"
Sobble,"Water 1, Field"
Solgaleo,Undiscovered
Solosis,Amorphous
Solrock,Mineral
Spearow,Flying
Spectrier,Undiscovered
Speed Deoxys,Undiscovered
Spewpa,Bug
Spheal,"Water 1, Field"
Spidops,Bug
Spiky-eared Pichu,Undiscovered
Spinarak,Bug
Spinda,"Field, Human-Like"
Spiritomb,Amorphous
Spoink,Field
Sprigatito,"Field, Grass"
Sprinting Build Koraidon,Undiscovered
Spritzee,Fairy
Squawkabilly,Flying
Squirtle,"Monster, Water 1"
Stakataka,Undiscovered
Stantler,Field
Star Trim Furfrou,Field
Staraptor,Flying
Staravia,Flying
Starly,Flying
Starmie,Water 3
Staryu,Water 3
Steel Arceus,Undiscovered
Steel Silvally,Undiscovered
Steelix,Mineral
Steenee,Grass
Stonjourner,Mineral
Stoutland,Field
Stretchy Tatsugiri,Water 2
Stufful,Field
Stunfisk,"Water 1, Amorphous"
Stunky,Field
Sudowoodo,Mineral
Suicune,Undiscovered
Summer Deerling,Field
Summer Sawsbuck,Field
Sun Vivillon,Bug
Sunflora,Grass
Sunkern,Grass
Sunny Castform,"Fairy, Amorphous"
Sunshine Cherrim,"Fairy, Grass"
Super Gourgeist,Undiscovered
Super Pumpkaboo,Undiscovered
Surskit,"Water 1, Bug"
Swablu,"Flying, Dragon"
Swadloon,Bug
Swalot,Amorphous
Swampert,"Monster, Water 1"
Swanna,"Water 1, Flying"
Swellow,Flying
Swinub,Field
Swirlix,Fairy
Swoobat,"Field, Flying"
Sylveon,Field
Tadbulb,Water 1
Taillow,Flying
Talonflame,Flying
Tandemaus,"Field, Fairy"
Tangela,Grass
Tangrowth,Grass
Tapu Bulu,Undiscovered
Tapu Fini,Undiscovered
Tapu Koko,Undiscovered
Tapu Lele,Undiscovered
Tarountula,Bug
Tatsugiri,Water 2
Tauros,Field
Teddiursa,Field
Tentacool,Water 3
Tentacruel,Water 3
Tepig,Field
Terapagos,Undiscovered
Terastal Terapagos,Undiscovered
Terrakion,Undiscovered
Therian Enamorus,Undiscovered
Therian Landorus,Undiscovered
Therian Thundurus,Undiscovered
Therian Tornadus,Undiscovered
Thievul,Field
Three-Segment Dudunsparce,Field
Throh,Human-Like
Thundurus,Undiscovered
Thwackey,"Field, Grass"
Timburr,Human-Like
Ting-Lu,Undiscovered
Tinkatink,Fairy
Tinkaton,Fairy
Tinkatuff,Fairy
Tirtouga,"Water 1, Water 3"
Toedscool,Grass
Toedscruel,Grass
Togedemaru,"Field, Fairy"
Togekiss,"Flying, Fairy"
Togepi,Undiscovered
Togetic,"Flying, Fairy"
Torchic,Field
Torkoal,Field
Tornadus,Undiscovered
Torracat,Field
Torterra,"Monster, Grass"
Totodile,"Monster, Water 1"
Toucannon,Flying
Toxapex,Water 1
Toxel,Undiscovered
Toxicroak,Human-Like
Tranquill,Flying
Trapinch,"Bug, Dragon"
Trash Burmy,Bug
Trash Wormadam,Bug
Treecko,"Monster, Dragon"
Trevenant,"Grass, Amorphous"
Tropius,"Monster, Grass"
Trubbish,Mineral
Trumbeak,Flying
Tsareena,Grass
Tundra Vivillon,Bug
Turtonator,"Monster, Dragon"
Turtwig,"Monster, Grass"
Tympole,Water 1
Tynamo,Amorphous
Type: Null,Undiscovered
Typhlosion,Field
Tyranitar,Monster
Tyrantrum,"Monster, Dragon"
Tyrogue,Undiscovered
Tyrunt,"Monster, Dragon"
Ultra Necrozma,Undiscovered
Umbreon,Field
Unfezant,Flying
Unova Cap Pikachu,Undiscovered
Unown,Undiscovered
Unown A,Undiscovered
Unown B,Undiscovered
Unown C,Undiscovered
Unown D,Undiscovered
Unown E,Undiscovered
Unown Exclamation,Undiscovered
Unown G,Undiscovered
Unown H,Undiscovered
Unown I,Undiscovered
Unown J,Undiscovered
Unown K,Undiscovered
Unown L,Undiscovered
Unown M,Undiscovered
Unown N,Undiscovered
Unown O,Undiscovered
Unown P,Undiscovered
Unown Q,Undiscovered
Unown Question,Undiscovered
Unown R,Undiscovered
Unown S,Undiscovered
Unown T,Undiscovered
Unown U,Undiscovered
Unown V,Undiscovered
Unown W,Undiscovered
Unown X,Undiscovered
Unown Y,Undiscovered
Unown Z,Undiscovered
Ursaluna,Field
Ursaring,Field
Urshifu,Undiscovered
Uxie,Undiscovered
Vanilla Cream Berry Sweet Alcremie,"Fairy, Amorphous"
Vanilla Cream Clover Sweet Alcremie,"Fairy, Amorphous"
Vanilla Cream Flower Sweet Alcremie,"Fairy, Amorphous"
Vanilla Cream Love Sweet Alcremie,"Fairy, Amorphous"
Vanilla Cream Ribbon Sweet Alcremie,"Fairy, Amorphous"
Vanilla Cream Star Sweet Alcremie,"Fairy, Amorphous"
Vanillish,Mineral
Vanillite,Mineral
Vanilluxe,Mineral
Vaporeon,Field
Varoom,Mineral
Veluza,Water 2
Venipede,Bug
Venomoth,Bug
Venonat,Bug
Venusaur,"Monster, Grass"
Vespiquen,Bug
Vibrava,"Bug, Dragon"
Victini,Undiscovered
Victreebel,Grass
Vigoroth,Field
Vikavolt,Bug
Vileplume,Grass
Violet Core Minior,Mineral
Violet Meteor Minior,Mineral
Virizion,Undiscovered
Vivillon,Bug
Volbeat,"Bug, Human-Like"
Volcanion,Undiscovered
Volcarona,Bug
Voltorb,Mineral
Vullaby,Flying
Vulpix,Field
Wailmer,"Field, Water 2"
Wailord,"Field, Water 2"
Walking Wake,Undiscovered
Walrein,"Water 1, Field"
Wartortle,"Monster, Water 1"
Wash Rotom,Amorphous
Watchog,Field
Water Arceus,Undiscovered
Water Silvally,Undiscovered
Wattrel,"Water 1, Flying"
Weavile,Field
Weedle,Bug
Weepinbell,Grass
Weezing,Amorphous
Wellspring Mask Ogerpon,Undiscovered
Whimsicott,"Grass, Fairy"
Whirlipede,Bug
Whiscash,Water 2
Whismur,"Monster, Field"
White Flower Flabébé,Fairy
White Flower Floette,Fairy
White Flower Florges,Fairy
White Kyurem,Undiscovered
White Plumage Squawkabilly,Flying
White-Striped Basculin,Water 2
Wigglytuff,Fairy
Wiglett,Water 3
Wimpod,"Bug, Water 3"
Wingull,"Water 1, Flying"
Winter Deerling,Field
Winter Sawsbuck,Field
Wishiwashi,Water 2
Wo-Chien,Undiscovered
Wobbuffet,Amorphous
Woobat,"Field, Flying"
Wooloo,Field
Wooper,"Water 1, Field"
Wormadam,Bug
Wugtrio,Water 3
Wurmple,Bug
Wynaut,Undiscovered
Wyrdeer,Field
Xatu,Flying
Xerneas,Undiscovered
Xurkitree,Undiscovered
Yamask,"Mineral, Amorphous"
Yamper,Field
Yanma,Bug
Yanmega,Bug
Yellow Core Minior,Mineral
Yellow Flower Flabébé,Fairy
Yellow Flower Floette,Fairy
Yellow Flower Florges,Fairy
Yellow Meteor Minior,Mineral
Yellow Plumage Squawkabilly,Flying
Yungoos,Field
Yveltal,Undiscovered
Zacian,Undiscovered
Zamazenta,Undiscovered
Zangoose,Field
Zapdos,Undiscovered
Zarude,Undiscovered
Zebstrika,Field
Zekrom,Undiscovered
Zen Darmanitan,Field
Zenith Marshadow,Undiscovered
Zeraora,Undiscovered
Zigzagoon,Field
Zoroark,Field
Zorua,Field
Zubat,Flying
Zweilous,Dragon
Zygarde,Undiscovered
Zygarde Cell,Undiscovered
Zygarde Core,Undiscovered
